dataset,n_samples,n_features,anomaly_pct,iso_auroc,rfuni_auroc,delta
16_http,567498,3,0.39,0.999353,0.503916,0.495437
32_shuttle,49097,9,7.15,0.997741,0.519677,0.478064
4_breastw,683,9,34.99,0.992978,0.609902,0.383076
6_cardio,1831,21,9.61,0.925387,0.542728,0.382659
24_mnist,7603,100,9.21,0.816939,0.510714,0.306225
26_optdigits,5216,64,2.88,0.790631,0.495069,0.295562
25_musk,3062,166,3.17,1.0,0.718589,0.281411
11_donors,619326,10,5.93,0.779879,0.50011,0.279769
27_PageBlocks,5393,10,9.46,0.890712,0.619463,0.271249
17_InternetAds,1966,1555,18.72,0.752576,0.498079,0.254497
10_cover,286048,10,0.96,0.856375,0.606391,0.249984
28_pendigits,6870,16,2.27,0.942474,0.701475,0.240999
7_Cardiotocography,2114,21,22.04,0.747442,0.516553,0.230889
8_celeba,202599,39,2.24,0.727968,0.5005,0.227468
3_backdoor,95329,196,2.44,0.734784,0.510702,0.224082
5_campaign,41188,62,11.27,0.712862,0.500402,0.21246
34_smtp,95156,3,0.03,0.929465,0.726221,0.203244
23_mammography,11183,6,2.32,0.860843,0.675167,0.185676
13_fraud,284807,29,0.17,0.953535,0.775896,0.177639
2_annthyroid,7200,6,7.42,0.847509,0.670668,0.176841
33_skin,245057,3,20.75,0.667772,0.51709,0.150682
39_vertebral,240,6,12.5,0.519841,0.371032,0.148809
9_census,299285,500,6.2,0.634861,0.49992,0.134941
31_satimage-2,5803,36,1.22,0.991219,0.862343,0.128876
15_Hepatitis,80,19,16.25,0.564103,0.448718,0.115385
22_magic.gamma,19020,10,35.16,0.734571,0.626975,0.107596
30_satellite,6435,36,31.64,0.7468,0.644846,0.101954
35_SpamBase,4207,57,39.91,0.608913,0.510399,0.098514
14_glass,214,7,4.21,0.865854,0.77439,0.091464
38_thyroid,3772,6,2.47,0.972898,0.890875,0.082023
37_Stamps,340,9,9.12,0.922043,0.842742,0.079301
12_fault,1941,27,34.67,0.572499,0.509274,0.063225
45_wine,129,13,7.75,0.875,0.833333,0.041667
43_WDBC,367,30,2.72,1.0,0.979167,0.020833
1_ALOI,49534,27,3.04,0.527365,0.509767,0.017598
29_Pima,768,8,34.9,0.583889,0.567685,0.016204
41_Waveform,3443,21,2.9,0.717339,0.70852,0.008819
42_WBC,223,9,4.48,0.988372,0.988372,0.0
46_WPBC,198,33,23.74,0.498208,0.503584,-0.005376
19_landsat,6435,36,20.71,0.49067,0.508253,-0.017583
44_Wilt,4819,5,5.33,0.418358,0.452355,-0.033997
18_Ionosphere,351,32,35.9,0.870435,0.913913,-0.043478
21_Lymphography,148,18,4.05,0.931034,0.982759,-0.051725
36_speech,3686,400,1.65,0.494605,0.550735,-0.05613
47_yeast,1484,8,34.16,0.450242,0.510255,-0.060013
40_vowels,1456,12,3.43,0.724823,0.80727,-0.082447
20_letter,1600,32,6.25,0.608333,0.761,-0.152667
