rank,dataset,n_samples,n_features,anomaly_pct,auroc
1,25_musk,3062,166,3.17,1.0
2,43_WDBC,367,30,2.72,1.0
3,16_http,567498,3,0.39,0.999353
4,32_shuttle,49097,9,7.15,0.997741
5,4_breastw,683,9,34.99,0.992978
6,31_satimage-2,5803,36,1.22,0.991219
7,42_WBC,223,9,4.48,0.988372
8,38_thyroid,3772,6,2.47,0.972898
9,13_fraud,284807,29,0.17,0.953535
10,28_pendigits,6870,16,2.27,0.942474
11,21_Lymphography,148,18,4.05,0.931034
12,34_smtp,95156,3,0.03,0.929465
13,6_cardio,1831,21,9.61,0.925387
14,37_Stamps,340,9,9.12,0.922043
15,27_PageBlocks,5393,10,9.46,0.890712
16,45_wine,129,13,7.75,0.875
17,18_Ionosphere,351,32,35.9,0.870435
18,14_glass,214,7,4.21,0.865854
19,23_mammography,11183,6,2.32,0.860843
20,10_cover,286048,10,0.96,0.856375
21,2_annthyroid,7200,6,7.42,0.847509
22,24_mnist,7603,100,9.21,0.816939
23,26_optdigits,5216,64,2.88,0.790631
24,11_donors,619326,10,5.93,0.779879
25,17_InternetAds,1966,1555,18.72,0.752576
26,7_Cardiotocography,2114,21,22.04,0.747442
27,30_satellite,6435,36,31.64,0.7468
28,3_backdoor,95329,196,2.44,0.734784
29,22_magic.gamma,19020,10,35.16,0.734571
30,8_celeba,202599,39,2.24,0.727968
31,40_vowels,1456,12,3.43,0.724823
32,41_Waveform,3443,21,2.9,0.717339
33,5_campaign,41188,62,11.27,0.712862
34,33_skin,245057,3,20.75,0.667772
35,9_census,299285,500,6.2,0.634861
36,35_SpamBase,4207,57,39.91,0.608913
37,20_letter,1600,32,6.25,0.608333
38,29_Pima,768,8,34.9,0.583889
39,12_fault,1941,27,34.67,0.572499
40,15_Hepatitis,80,19,16.25,0.564103
41,1_ALOI,49534,27,3.04,0.527365
42,39_vertebral,240,6,12.5,0.519841
43,46_WPBC,198,33,23.74,0.498208
44,36_speech,3686,400,1.65,0.494605
45,19_landsat,6435,36,20.71,0.49067
46,47_yeast,1484,8,34.16,0.450242
47,44_Wilt,4819,5,5.33,0.418358
