dataset,n_samples,n_features,anomaly_ratio,auroc,error,elapsed_s
10_cover,286048,10,0.009603283365029646,0.856375,,1.54
11_donors,619326,10,0.05927411411760527,0.779879,,2.86
12_fault,1941,27,0.3467284904688305,0.572499,,0.313
13_fraud,284807,29,0.001727485630620034,0.953535,,2.781
14_glass,214,7,0.04205607476635514,0.865854,,0.282
15_Hepatitis,80,19,0.1625,0.564103,,0.272
16_http,567498,3,0.003896048972859816,0.999353,,2.078
17_InternetAds,1966,1555,0.1871820956256358,0.752576,,0.627
18_Ionosphere,351,32,0.358974358974359,0.870435,,0.297
19_landsat,6435,36,0.20714840714840715,0.49067,,0.357
1_ALOI,49534,27,0.030443735615940565,0.527365,,0.705
20_letter,1600,32,0.0625,0.608333,,0.315
21_Lymphography,148,18,0.04054054054054054,0.931034,,0.279
22_magic.gamma,19020,10,0.3516298633017876,0.734571,,0.437
23_mammography,11183,6,0.023249575248144506,0.860843,,0.367
24_mnist,7603,100,0.09206892016309351,0.816939,,0.417
25_musk,3062,166,0.03167864141084259,1.0,,0.366
26_optdigits,5216,64,0.028757668711656442,0.790631,,0.362
27_PageBlocks,5393,10,0.09456703133691823,0.890712,,0.338
28_pendigits,6870,16,0.022707423580786028,0.942474,,0.364
29_Pima,768,8,0.3489583333333333,0.583889,,0.294
2_annthyroid,7200,6,0.07416666666666667,0.847509,,0.339
30_satellite,6435,36,0.3163947163947164,0.7468,,0.356
31_satimage-2,5803,36,0.0122350508357746,0.991219,,0.346
32_shuttle,49097,9,0.0715114976475141,0.997741,,0.614
33_skin,245057,3,0.20753947040892526,0.667772,,1.154
34_smtp,95156,3,0.0003152717642607928,0.929465,,0.712
35_SpamBase,4207,57,0.39909674352270025,0.608913,,0.332
36_speech,3686,400,0.016549104720564298,0.494605,,0.502
37_Stamps,340,9,0.09117647058823529,0.922043,,0.293
38_thyroid,3772,6,0.024655355249204668,0.972898,,0.327
39_vertebral,240,6,0.125,0.519841,,0.277
3_backdoor,95329,196,0.02443118043827167,0.734784,,3.438
40_vowels,1456,12,0.034340659340659344,0.724823,,0.313
41_Waveform,3443,21,0.02904443799012489,0.717339,,0.326
42_WBC,223,9,0.04484304932735426,0.988372,,0.287
43_WDBC,367,30,0.027247956403269755,1.0,,0.296
44_Wilt,4819,5,0.05333056650757419,0.418358,,0.319
45_wine,129,13,0.07751937984496124,0.875,,0.292
46_WPBC,198,33,0.23737373737373738,0.498208,,0.285
47_yeast,1484,8,0.341644204851752,0.450242,,0.299
4_breastw,683,9,0.34992679355783307,0.992978,,0.297
5_campaign,41188,62,0.11265417111780131,0.712862,,0.863
6_cardio,1831,21,0.0961223375204806,0.925387,,0.316
7_Cardiotocography,2114,21,0.22043519394512773,0.747442,,0.309
8_celeba,202599,39,0.022443348683853327,0.727968,,1.94
9_census,299285,500,0.062041198189017155,0.634861,,25.672
