dataset,n_samples,n_features,n_anomalies,auroc
21_Lymphography,148,18,6,0.70892
6_cardio,1831,21,176,0.531192
46_WPBC,198,33,47,0.52952
14_glass,214,7,9,0.529268
15_Hepatitis,80,19,13,0.528129
31_satimage-2,5803,36,71,0.513913
18_Ionosphere,351,32,126,0.511746
12_fault,1941,27,673,0.510338
38_thyroid,3772,6,93,0.508448
24_mnist,7603,100,700,0.507633
44_Wilt,4819,5,257,0.506214
29_Pima,768,8,268,0.505175
7_Cardiotocography,2114,21,466,0.502507
22_magic.gamma,19020,10,6688,0.502019
23_mammography,11183,6,260,0.501145
3_backdoor,95329,196,2329,0.500386
4_breastw,683,9,239,0.500339
5_campaign,41188,62,4640,0.50021
11_donors,619326,10,36710,0.500012
9_census,299285,500,18568,0.499979
16_http,567498,3,2211,0.499975
32_shuttle,49097,9,3511,0.499967
8_celeba,202599,39,4547,0.49996
13_fraud,284807,29,492,0.499954
33_skin,245057,3,50859,0.499951
10_cover,286048,10,2747,0.499922
34_smtp,95156,3,30,0.499921
19_landsat,6435,36,1333,0.499673
1_ALOI,49534,27,1508,0.499667
30_satellite,6435,36,2036,0.499354
26_optdigits,5216,64,150,0.499112
2_annthyroid,7200,6,534,0.49906
17_InternetAds,1966,1555,368,0.498748
28_pendigits,6870,16,156,0.498511
41_Waveform,3443,21,100,0.498355
25_musk,3062,166,97,0.497639
27_PageBlocks,5393,10,510,0.496883
36_speech,3686,400,61,0.496552
47_yeast,1484,8,507,0.496175
35_SpamBase,4207,57,1679,0.496144
40_vowels,1456,12,50,0.492532
20_letter,1600,32,100,0.488
43_WDBC,367,30,10,0.487395
42_WBC,223,9,10,0.467136
37_Stamps,340,9,31,0.466019
39_vertebral,240,6,30,0.421429
45_wine,129,13,10,0.357143
