dataset,n_samples,n_features,n_anomalies,real_model_auroc,isolation_forest_auroc,rfuni_auroc
21_Lymphography,148,18,6,0.70892,0.931034,0.982759
6_cardio,1831,21,176,0.531192,0.925387,0.542728
46_WPBC,198,33,47,0.52952,0.498208,0.503584
14_glass,214,7,9,0.529268,0.865854,0.77439
15_Hepatitis,80,19,13,0.528129,0.564103,0.448718
31_satimage-2,5803,36,71,0.513913,0.991219,0.862343
18_Ionosphere,351,32,126,0.511746,0.870435,0.913913
12_fault,1941,27,673,0.510338,0.572499,0.509274
38_thyroid,3772,6,93,0.508448,0.972898,0.890875
24_mnist,7603,100,700,0.507633,0.816939,0.510714
44_Wilt,4819,5,257,0.506214,0.418358,0.452355
29_Pima,768,8,268,0.505175,0.583889,0.567685
7_Cardiotocography,2114,21,466,0.502507,0.747442,0.516553
22_magic.gamma,19020,10,6688,0.502019,0.734571,0.626975
23_mammography,11183,6,260,0.501145,0.860843,0.675167
3_backdoor,95329,196,2329,0.500386,0.734784,0.510702
4_breastw,683,9,239,0.500339,0.992978,0.609902
5_campaign,41188,62,4640,0.50021,0.712862,0.500402
11_donors,619326,10,36710,0.500012,0.779879,0.50011
9_census,299285,500,18568,0.499979,0.634861,0.49992
16_http,567498,3,2211,0.499975,0.999353,0.503916
32_shuttle,49097,9,3511,0.499967,0.997741,0.519677
8_celeba,202599,39,4547,0.49996,0.727968,0.5005
13_fraud,284807,29,492,0.499954,0.953535,0.775896
33_skin,245057,3,50859,0.499951,0.667772,0.51709
10_cover,286048,10,2747,0.499922,0.856375,0.606391
34_smtp,95156,3,30,0.499921,0.929465,0.726221
19_landsat,6435,36,1333,0.499673,0.49067,0.508253
1_ALOI,49534,27,1508,0.499667,0.527365,0.509767
30_satellite,6435,36,2036,0.499354,0.7468,0.644846
26_optdigits,5216,64,150,0.499112,0.790631,0.495069
2_annthyroid,7200,6,534,0.49906,0.847509,0.670668
17_InternetAds,1966,1555,368,0.498748,0.752576,0.498079
28_pendigits,6870,16,156,0.498511,0.942474,0.701475
41_Waveform,3443,21,100,0.498355,0.717339,0.70852
25_musk,3062,166,97,0.497639,1.0,0.718589
27_PageBlocks,5393,10,510,0.496883,0.890712,0.619463
36_speech,3686,400,61,0.496552,0.494605,0.550735
47_yeast,1484,8,507,0.496175,0.450242,0.510255
35_SpamBase,4207,57,1679,0.496144,0.608913,0.510399
40_vowels,1456,12,50,0.492532,0.724823,0.80727
20_letter,1600,32,100,0.488,0.608333,0.761
43_WDBC,367,30,10,0.487395,1.0,0.979167
42_WBC,223,9,10,0.467136,0.988372,0.988372
37_Stamps,340,9,31,0.466019,0.922043,0.842742
39_vertebral,240,6,30,0.421429,0.519841,0.371032
45_wine,129,13,10,0.357143,0.875,0.833333
