dataset,n_samples,n_features,anomaly_ratio,rfuni_auroc,error,elapsed_s
10_cover,286048,10,0.009603283365029646,0.606391,,67.325
11_donors,619326,10,0.05927411411760527,0.50011,,35.114
12_fault,1941,27,0.3467284904688305,0.509274,,0.316
13_fraud,284807,29,0.001727485630620034,0.775896,,79.967
14_glass,214,7,0.04205607476635514,0.77439,,0.195
15_Hepatitis,80,19,0.1625,0.448718,,0.188
16_http,567498,3,0.003896048972859816,0.503916,,26.824
17_InternetAds,1966,1555,0.1871820956256358,0.498079,,0.957
18_Ionosphere,351,32,0.358974358974359,0.913913,,0.256
19_landsat,6435,36,0.20714840714840715,0.508253,,1.576
1_ALOI,49534,27,0.030443735615940565,0.509767,,8.951
20_letter,1600,32,0.0625,0.761,,0.39
21_Lymphography,148,18,0.04054054054054054,0.982759,,0.213
22_magic.gamma,19020,10,0.3516298633017876,0.626975,,4.486
23_mammography,11183,6,0.023249575248144506,0.675167,,0.829
24_mnist,7603,100,0.09206892016309351,0.510714,,0.658
25_musk,3062,166,0.03167864141084259,0.718589,,1.104
26_optdigits,5216,64,0.028757668711656442,0.495069,,0.483
27_PageBlocks,5393,10,0.09456703133691823,0.619463,,0.546
28_pendigits,6870,16,0.022707423580786028,0.701475,,1.574
29_Pima,768,8,0.3489583333333333,0.567685,,0.278
2_annthyroid,7200,6,0.07416666666666667,0.670668,,0.623
30_satellite,6435,36,0.3163947163947164,0.644846,,1.595
31_satimage-2,5803,36,0.0122350508357746,0.862343,,1.455
32_shuttle,49097,9,0.0715114976475141,0.519677,,4.087
33_skin,245057,3,0.20753947040892526,0.51709,,29.682
34_smtp,95156,3,0.0003152717642607928,0.726221,,4.951
35_SpamBase,4207,57,0.39909674352270025,0.510399,,0.406
36_speech,3686,400,0.016549104720564298,0.550735,,4.898
37_Stamps,340,9,0.09117647058823529,0.842742,,0.314
38_thyroid,3772,6,0.024655355249204668,0.890875,,0.393
39_vertebral,240,6,0.125,0.371032,,0.22
3_backdoor,95329,196,0.02443118043827167,0.510702,,13.562
40_vowels,1456,12,0.034340659340659344,0.80727,,0.476
41_Waveform,3443,21,0.02904443799012489,0.70852,,1.153
42_WBC,223,9,0.04484304932735426,0.988372,,0.213
43_WDBC,367,30,0.027247956403269755,0.979167,,0.252
44_Wilt,4819,5,0.05333056650757419,0.452355,,0.567
45_wine,129,13,0.07751937984496124,0.833333,,0.209
46_WPBC,198,33,0.23737373737373738,0.503584,,0.227
47_yeast,1484,8,0.341644204851752,0.510255,,0.266
4_breastw,683,9,0.34992679355783307,0.609902,,0.292
5_campaign,41188,62,0.11265417111780131,0.500402,,3.159
6_cardio,1831,21,0.0961223375204806,0.542728,,0.327
7_Cardiotocography,2114,21,0.22043519394512773,0.516553,,0.328
8_celeba,202599,39,0.022443348683853327,0.5005,,20.507
9_census,299285,500,0.062041198189017155,0.49992,,93.947
